year,month,avg_promised_days,avg_actual_days,avg_last_mile_days
2017,1,38.8,12.38,9.19
2017,2,31.23,13.01,9.53
2017,3,24.23,12.85,9.78
2017,4,26.53,14.55,11.22
2017,5,23.63,11.11,8.31
2017,6,23.38,11.74,8.82
2017,7,22.66,11.17,8.44
2017,8,22.88,10.78,8.05
2017,9,21.77,11.38,8.63
2017,10,22.38,11.44,8.39
2017,11,21.91,14.7,11.1
2017,12,27,14.94,11.72
2018,1,25.61,13.59,10.51
2018,2,23.86,16.49,13.43
2018,3,21.44,15.89,13.02
2018,4,22.82,10.84,8.65
2018,5,22.29,11.04,8.53
2018,6,27.15,8.86,6.47
2018,7,18.86,8.36,5.92
2018,8,14.58,7.35,5
