year,month,num_orders,avg_late_days,pct_late,avg_review_score
2017,1,751,-26.44,3.06,4.2
2017,2,1659,-18.23,3.25,4.2
2017,3,2551,-11.38,5.49,4.19
2017,4,2304,-11.98,7.86,4.14
2017,5,3569,-12.54,3.59,4.24
2017,6,3146,-11.64,3.78,4.22
2017,7,3891,-11.47,3.5,4.26
2017,8,4213,-12.1,3.3,4.31
2017,9,4155,-10.38,5.2,4.27
2017,10,4485,-10.95,5.28,4.2
2017,11,7316,-7.22,14.08,3.99
2017,12,5505,-12.05,8.36,4.09
2018,1,7089,-12.03,6.5,4.11
2018,2,6588,-7.37,15.82,3.88
2018,3,7018,-5.55,21.19,3.81
2018,4,6801,-11.98,5.28,4.21
2018,5,6751,-11.25,8.16,4.23
2018,6,6099,-18.29,1.36,4.31
2018,7,6169,-10.5,4.39,4.32
2018,8,6340,-7.24,9.83,4.31
